#    Comput. Expt.   N  M1 Oxi1 M2 Oxi2 Compound Reaction
   0 -17.231 -17.367  5 Al  3.0 *  *    "Al2O3" "2 Al + 1.5 O2 -> Al2O3"
   1  -9.383  -9.234  7 Co  2.7 *  *    "Co3O4" "3 Co + 2 O2 -> Co3O4"
   2  -2.110  -2.466  2 Co  2.0 *  *    "CoO" "Co + 0.5 O2 -> CoO"
   3 -13.172 -11.812  5 Cr  3.0 *  *    "Cr2O3" "2 Cr + 1.5 O2 -> Cr2O3"
   4 -15.956 -15.867  7 Cr  2.7 *  *    "Cr3O4" "3 Cr + 2 O2 -> Cr3O4"
   5  -6.985  -6.198  3 Cr  4.0 *  *    "CrO2" "Cr + O2 -> CrO2"
   6  -1.543  -1.747  3 Cu  1.0 *  *    "Cu2O" "2 Cu + 0.5 O2 -> Cu2O"
   7  -1.766  -1.630  2 Cu  2.0 *  *    "CuO" "Cu + 0.5 O2 -> CuO"
   8  -8.159  -8.542  5 Fe  3.0 *  *    "Fe2O3" "2 Fe + 1.5 O2 -> Fe2O3"
   9 -10.182 -11.591  7 Fe  2.7 *  *    "Fe3O4" "3 Fe + 2 O2 -> Fe3O4"
  10  -2.248  -2.819  2 Fe  2.0 *  *    "FeO" "Fe + 0.5 O2 -> FeO"
  11  -6.169  -6.197  3 Li  1.0 *  *    "Li2O" "2 Li + 0.5 O2 -> Li2O"
  12  -9.700  -9.939  5 Mn  3.0 *  *    "Mn2O3" "2 Mn + 1.5 O2 -> Mn2O3"
  13 -13.385 -14.383  7 Mn  2.7 *  *    "Mn3O4" "3 Mn + 2 O2 -> Mn3O4"
  14  -3.451  -3.992  2 Mn  2.0 *  *    "MnO" "Mn + 0.5 O2 -> MnO"
  15  -5.705  -5.389  3 Mn  4.0 *  *    "MnO2" "Mn + O2 -> MnO2"
  16  -2.430  -2.484  2 Ni  2.0 *  *    "NiO" "Ni + 0.5 O2 -> NiO"
  17 -16.078 -15.763  5 Ti  3.0 *  *    "Ti2O3" "1.5 O2 + 2 Ti -> Ti2O3"
  18 -26.487 -25.489  8 Ti  3.3 *  *    "Ti3O5" "2.5 O2 + 3 Ti -> Ti3O5"
  19  -5.188  -5.386  2 Ti  2.0 *  *    "TiO" "0.5 O2 + Ti -> TiO"
  20 -10.297  -9.784  3 Ti  4.0 *  *    "TiO2" "O2 + Ti -> TiO2"
  21 -13.608 -12.632  5 V   3.0 *  *    "V2O3" "1.5 O2 + 2 V -> V2O3"
  22 -17.586 -16.070  7 V   5.0 *  *    "V2O5" "2.5 O2 + 2 V -> V2O5"
  23 -21.984 -20.034  8 V   3.3 *  *    "V3O5" "2.5 O2 + 3 V -> V3O5"
  24  -4.621  -4.475  2 V   2.0 *  *    "VO" "0.5 O2 + V -> VO"
  25  -8.036  -7.425  3 V   4.0 *  *    "VO2" "O2 + V -> VO2"
