#    Comput. Expt.   N  Reaction
   0  -1.701  -0.779  5 "0.5 Cr3O4 + 0.5 CrO2 -> Cr2O3"
   1   3.402   1.559 10 "2 Cr2O3 -> CrO2 + Cr3O4"
   2  -0.225   0.230  7 "Fe3O4 -> FeO + Fe2O3"
   3   0.234   0.452  7 "Mn3O4 -> MnO + Mn2O3"
   4  -0.155  -0.053  5 "0.5 Mn3O4 + 0.5 MnO2 -> Mn2O3"
   5  -0.544  -0.558  5 "MnO + MnO2 -> Mn2O3"
   6  -0.853  -0.663 15 "Mn3O4 + MnO + 2 MnO2 -> 3 Mn2O3"
   7   0.309   0.106 10 "2 Mn2O3 -> MnO2 + Mn3O4"
   8  -0.778  -1.009  7 "2 MnO + MnO2 -> Mn3O4"
   9  -1.012  -1.461 14 "Mn2O3 + 3 MnO + MnO2 -> 2 Mn3O4"
  10   1.322   1.567 12 "Mn2O3 + Mn3O4 -> 2 MnO2 + 3 MnO"
  11   0.778   1.009  7 "Mn3O4 -> 2 MnO + MnO2"
  12  -0.241  -0.325  5 "0.5 Ti3O5 + 0.5 TiO -> Ti2O3"
  13   0.111  -0.057  8 "Ti3O5 -> TiO2 + Ti2O3"
  14  -0.593  -0.593  5 "TiO + TiO2 -> Ti2O3"
  15  -1.075  -1.243 15 "Ti3O5 + 2 TiO + TiO2 -> 3 Ti2O3"
  16   0.482   0.650 10 "2 Ti2O3 -> TiO + Ti3O5"
  17  -0.705  -0.536  8 "TiO + 2 TiO2 -> Ti3O5"
  18  -0.816  -0.479 16 "Ti2O3 + TiO + 3 TiO2 -> 2 Ti3O5"
  19   0.705   0.536  8 "Ti3O5 -> 2 TiO2 + TiO"
  20   1.298   1.129 13 "Ti2O3 + Ti3O5 -> 3 TiO2 + 2 TiO"
  21   0.462   0.181  6 "0.8 V3O5 -> 0.2 V2O5 + V2O3"
  22  -1.586  -1.308  5 "0.3333 V2O5 + 1.333 VO -> V2O3"
  23   0.950   0.998 12 "4 VO2 -> V2O5 + V2O3"
  24  -0.306  -0.377  5 "0.5 V3O5 + 0.5 VO -> V2O3"
  25   0.340  -0.023  8 "V3O5 -> VO2 + V2O3"
  26  -0.952  -0.731  5 "VO + VO2 -> V2O3"
  27  -5.368  -4.678 25 "V2O5 + V3O5 + 5 VO -> 5 V2O3"
  28   0.475   0.204  7 "0.7778 V3O5 + 0.1111 VO2 -> 0.2222 V2O5 + V2O3"
  29  -1.297  -1.046  5 "0.1818 V2O5 + 1.182 VO + 0.4545 VO2 -> V2O3"
  30  -1.564  -1.486 15 "V3O5 + 2 VO + VO2 -> 3 V2O3"
  31  -6.320  -5.410 30 "V2O5 + V3O5 + 6 VO + VO2 -> 6 V2O3"
  32   2.309   0.906 32 "4 V3O5 -> 5 V2O3 + V2O5"
  33   4.757   3.924 15 "3 V2O3 -> 4 VO + V2O5"
  34   3.839   2.792 12 "1.5 V3O5 -> 2.5 VO + V2O5"
  35   0.610   1.021 15 "5 VO2 -> V3O5 + V2O5"
  36   1.902   1.729  9 "3 VO2 -> VO + V2O5"
  37   4.145   3.169 13 "V2O3 + V3O5 -> 3 VO + V2O5"
  38   1.290   0.975 17 "V3O5 + 3 VO2 -> 2 V2O3 + V2O5"
  39   2.536   2.217 10 "0.6667 V2O3 + 2.333 VO2 -> 1.667 VO + V2O5"
  40   2.978   2.320 11 "0.8333 V3O5 + 1.333 VO2 -> 1.833 VO + V2O5"
  41   4.779   3.746 16 "V2O3 + V3O5 + VO2 -> 3.333 VO + 1.333 V2O5"
  42  -0.577  -0.226  8 "1.25 V2O3 + 0.25 V2O5 -> V3O5"
  43   0.612   0.754 10 "2 V2O3 -> VO + V3O5"
  44  -2.559  -1.861  8 "0.6667 V2O5 + 1.667 VO -> V3O5"
  45  -1.291  -0.708  8 "VO + 2 VO2 -> V3O5"
  46  -1.218  -0.755  8 "0.8462 V2O3 + 0.3846 V2O5 + 0.5385 VO -> V3O5"
  47  -0.498  -0.143  8 "1.167 V2O3 + 0.1667 V2O5 + 0.3333 VO2 -> V3O5"
  48  -1.631  -0.685 16 "V2O3 + VO + 3 VO2 -> 2 V3O5"
  49  -2.156  -1.495  8 "0.4545 V2O5 + 1.455 VO + 0.6364 VO2 -> V3O5"
  50  -1.127  -0.665  8 "0.7931 V2O3 + 0.3103 V2O5 + 0.5172 VO + 0.2759 VO2 -> V3O5"
  51   1.189   0.981  4 "0.75 V2O3 -> 0.25 V2O5 + VO"
  52   1.535   1.117  5 "0.6 V3O5 -> 0.4 V2O5 + VO"
  53   1.291   0.708  8 "V3O5 -> 2 VO2 + VO"
  54   1.382   1.056  4 "0.3333 V2O3 + 0.3333 V3O5 -> 0.3333 V2O5 + VO"
  55   1.216   1.009  4 "0.7222 V2O3 + 0.1111 VO2 -> 0.2778 V2O5 + VO"
  56   2.243   1.440 13 "V2O3 + V3O5 -> 3 VO2 + 2 VO"
  57   1.540   1.124  5 "0.5926 V3O5 + 0.03704 VO2 -> 0.4074 V2O5 + VO"
  58   0.341  -0.290 20 "V2O3 + V2O5 + V3O5 -> 6 VO2 + VO"
  59  -0.238  -0.249  3 "0.25 V2O3 + 0.25 V2O5 -> VO2"
  60  -0.122  -0.204  3 "0.2 V2O5 + 0.2 V3O5 -> VO2"
  61  -0.634  -0.576  3 "0.3333 V2O5 + 0.3333 VO -> VO2"
  62  -0.155  -0.217  3 "0.07143 V2O3 + 0.2143 V2O5 + 0.1429 V3O5 -> VO2"
