#    Comput. Expt.   N  Reaction
   0  -1.676  -1.308  5 "0.3333 V2O5 + 1.333 VO -> V2O3"
   1  -0.392  -0.377  5 "0.5 V3O5 + 0.5 VO -> V2O3"
   2  -0.987  -0.731  5 "VO + VO2 -> V2O3"
   3  -5.812  -4.678 25 "V2O5 + V3O5 + 5 VO -> 5 V2O3"
   4  -1.362  -1.046  5 "0.1818 V2O5 + 1.182 VO + 0.4545 VO2 -> V2O3"
   5  -1.771  -1.486 15 "V3O5 + 2 VO + VO2 -> 3 V2O3"
   6  -6.798  -5.410 30 "V2O5 + V3O5 + 6 VO + VO2 -> 6 V2O3"
   7   5.027   3.924 15 "3 V2O3 -> 4 VO + V2O5"
   8   3.850   2.792 12 "1.5 V3O5 -> 2.5 VO + V2O5"
   9   2.068   1.729  9 "3 VO2 -> VO + V2O5"
  10   4.243   3.169 13 "V2O3 + V3O5 -> 3 VO + V2O5"
  11   2.725   2.217 10 "0.6667 V2O3 + 2.333 VO2 -> 1.667 VO + V2O5"
  12   3.058   2.320 11 "0.8333 V3O5 + 1.333 VO2 -> 1.833 VO + V2O5"
  13   4.932   3.746 16 "V2O3 + V3O5 + VO2 -> 3.333 VO + 1.333 V2O5"
  14   0.785   0.754 10 "2 V2O3 -> VO + V3O5"
  15  -2.567  -1.861  8 "0.6667 V2O5 + 1.667 VO -> V3O5"
  16  -1.188  -0.708  8 "VO + 2 VO2 -> V3O5"
  17  -1.149  -0.755  8 "0.8462 V2O3 + 0.3846 V2O5 + 0.5385 VO -> V3O5"
  18  -1.390  -0.685 16 "V2O3 + VO + 3 VO2 -> 2 V3O5"
  19  -2.128  -1.495  8 "0.4545 V2O5 + 1.455 VO + 0.6364 VO2 -> V3O5"
  20  -1.048  -0.665  8 "0.7931 V2O3 + 0.3103 V2O5 + 0.5172 VO + 0.2759 VO2 -> V3O5"
  21   1.257   0.981  4 "0.75 V2O3 -> 0.25 V2O5 + VO"
  22   1.540   1.117  5 "0.6 V3O5 -> 0.4 V2O5 + VO"
  23   1.188   0.708  8 "V3O5 -> 2 VO2 + VO"
  24   1.414   1.056  4 "0.3333 V2O3 + 0.3333 V3O5 -> 0.3333 V2O5 + VO"
  25   1.287   1.009  4 "0.7222 V2O3 + 0.1111 VO2 -> 0.2778 V2O5 + VO"
  26   2.175   1.440 13 "V2O3 + V3O5 -> 3 VO2 + 2 VO"
  27   1.547   1.124  5 "0.5926 V3O5 + 0.03704 VO2 -> 0.4074 V2O5 + VO"
  28   0.107  -0.290 20 "V2O3 + V2O5 + V3O5 -> 6 VO2 + VO"
  29  -0.689  -0.576  3 "0.3333 V2O5 + 0.3333 VO -> VO2"
  30  -0.367  -0.325  3 "0.1923 V2O3 + 0.2692 V2O5 + 0.07692 VO -> VO2"
  31  -0.216  -0.234  3 "0.2105 V2O5 + 0.1842 V3O5 + 0.02632 VO -> VO2"
  32  -4.028  -3.748 36 "V2O3 + 3 V2O5 + V3O5 + VO -> 12 VO2"
