#    Comput. Expt.   N  Reaction
   0 -12.690 -10.574 15 "5 TiO + TiO2 + O2 -> 3 Ti2O3"
   1 -13.950 -11.224 25 "Ti3O5 + 6 TiO + TiO2 + O2 -> 5 Ti2O3"
   2  -0.431  -0.668  8 "1.19 Ti2O3 + 0.619 TiO2 + 0.09524 O2 -> Ti3O5"
   3  -2.789  -2.490  8 "1.444 TiO + 1.556 TiO2 + 0.2222 O2 -> Ti3O5"
   4  -1.867  -1.897  8 "Ti2O3 + 0.4444 TiO + 0.5556 TiO2 + 0.2222 O2 -> Ti3O5"
   5  -2.020  -1.902  3 "0.5 Ti2O3 + 0.25 O2 -> TiO2"
   6  -1.460  -1.287  3 "0.3333 Ti3O5 + 0.1667 O2 -> TiO2"
   7  -4.962  -4.398  3 "TiO + 0.5 O2 -> TiO2"
   8  -1.608  -1.450  3 "0.1321 Ti2O3 + 0.2453 Ti3O5 + 0.1887 O2 -> TiO2"
   9  -2.440  -2.259  3 "0.4286 Ti2O3 + 0.1429 TiO + 0.2857 O2 -> TiO2"
  10  -1.619  -1.429  3 "0.3182 Ti3O5 + 0.04545 TiO + 0.1818 O2 -> TiO2"
  11  -1.661  -1.496  3 "0.129 Ti2O3 + 0.2419 Ti3O5 + 0.01613 TiO + 0.1935 O2 -> TiO2"
